size_bytes	sha256	path_relative_to_code
13643353	48f78c9cdc29c9d0c9ecd6c63194a7d08430a60c598311b433f874d92ab0f040	./uiucsn_astro_ghost/astro_ghost/Star_Galaxy_RealisticModel_GHOST_PS1ClassLabels.sav
13020106	7f2539c58dbcc235b1a3c9fbf2905385b2c217486ae816d7f4cdf9fca5e94a67	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_emille.zip
12998067	b2c2c5190baa04f0f2c521f72d25bb70003f41c9d1f9b3ec8419e1d60cd7355b	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD.zip
12996929	c5f945abfb8af542a7496b63af62639e44c24608ff1f9e1641641ae98a7eb047	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_emille_30days.zip
12994262	760232f96750e79fe84b428ce430c4c58d3f0b6c43d94517603ebb288ee4fb61	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_varvara.zip
12991968	0655ce2dbe048b5eaeebb674c90af661619c1689b902f7087230ea83bf60535f	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_julien.zip
12990695	06a595d41bfadad43fcea57f4bd8b8bde3ddcca85bf324ed6d27b7b968397e1e	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_maria.zip
12963070	67e4887fc79d160bb87f6833bba1f0c63d8aec375c682a200df92f1029857dde	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_anais.zip
12949836	3e337e0064353c8f309d8502aa28668a768bdb4eb9e85f2d6793df38e0ef6f1c	./astrolabsoftware_fink-science/fink_science/data/models/anomaly_detection/anomaly_detection_forest_AAD_alexanta.zip
12858568	f86c9f0cff0c2ec3b7029720143d14031c40388da012c91eab351a875b3f3310	./astrolabsoftware_fink-science/fink_science/data/catalogs/vsx/vsx_6.parquet
12407322	359fc5ec25b9120d025054c13d3a131f06594ad27ed1781e9e479831ef3e5e84	./MeriDK_AstroM3/dev/notebooks/025-results-summary.ipynb
12163398	48d73706dbc21eee333d7462f9d16a962a2e82e926360a90007653212ca8df2e	./ThomasHelfer_multimodal-supernovae/tsne.ipynb
11536089	089bc04959ecb87756f6d725ed4e5da1b5d68b2649eb03952388a753165d3a38	./astrolabsoftware_fink-science/fink_science/data/models/sklearn_1.7.2/elasticc_rainbow_earlyIa_nometa-1.7.2.obj
11532778	4d47d168439da516d6f0cb86dad05d76bf1891a6eed9664494ad9d3758b851ad	./astrolabsoftware_fink-science/fink_science/data/models/elasticc_rainbow_earlyIa_nometa.pkl
9738252	77f0a463502816bf2b6fca234daac81440c4ad0354f0170e5c4bd6aede2bebc9	./astrolabsoftware_fink-science/fink_science/data/models/sklearn_1.7.2/default-model_sigmoid-1.7.2.obj
9074277	a37ddef575ff052a123aa808fb141e50ac0b560cd0466d8e7646436748cbd63b	./alercebroker_lc_classifier/data_examples/100_objects_detections_corr.csv
8907710	6bd032004eccc7b5b52f7c021f0c4b541d801a70195028bf5af0a2578f554d78	./djones1040_SALTShaker/saltshaker/initfiles/hsiao07.dat
8875632	a3aa6d8c6259db80f2036108aa80e6f99026adee2bc9843618776e9ed89e9074	./astrolabsoftware_fink-science/fink_science/data/models/default-model_sigmoid.obj
8636961	19e99f493160c971318f67ff98f59d9f7cc09177f30197c849f387046c87eee0	./MeriDK_AstroM3/dev/notebooks/047-nice-plots.ipynb
8592254	7a0584c9aa969be3f030f70df2d0600bc6e620c72bbe33f0ccbebce34e2f99d6	./MeriDK_AstroM3/dev/notebooks/035-umap.ipynb
8462905	dc32f958f2a7c2ecf3f5e29d70645604daf4fa211058cb917e8f825ba9cdd6d9	./uiucsn_Astro-ORACLE/notebooks/AD_tests.ipynb
8437233	196a3b6ea3b9afd13ba8b7573e536045dad89cfdb97f729e1d15b08bbea7f373	./astrolabsoftware_fink-science/fink_science/data/models/default-model_sigmoid_elasticc.obj
7741155	2467f51a4bca22c41c32c0de4a78dd918f09d6642cac77f8dd6f9fa7825a49e0	./astromer-science_main-code/presentation/figures/figures.zip
7727936	cfa1c0619cb50538effc704aad508582b19a92cec5943f6812ac57c085c4496a	./ThomasHelfer_multimodal-supernovae/plot_figs_paper.ipynb
7689600	48470bda699922b6d003cb4ddbb8c8939bfd8f7a84b3a89ce2902d8d55267733	./scimma_blast/data/cutout_cdn/2010ag/PanSTARRS/PanSTARRS_i.fits
7686720	4efade096e57e9fcacccf5134163d40b05ed9db1f9ab6c1b6034f067697a0342	./scimma_blast/data/cutout_cdn/2010H/PanSTARRS/PanSTARRS_i.fits
7683840	daebded45b58a8457add6644b4a245f1d4b6d708adfa55a6a767fed2b64f4e0b	./scimma_blast/data/cutout_cdn/2010ag/PanSTARRS/PanSTARRS_y.fits
7683840	b75b4350e752423b2097f9f6420b920189b17aa2ecf56137193fc0e28e7e6b6e	./scimma_blast/data/cutout_cdn/2010ag/PanSTARRS/PanSTARRS_g.fits
7683840	b322125d6a177bc36365b87b0666c2eed4fe8a076a9b0ec2d8b478a5ac0c285f	./scimma_blast/data/cutout_cdn/2010ag/PanSTARRS/PanSTARRS_r.fits
7683840	a8788d5dcc35cc45819e8e1245d58f54e1b4cff25460917e240897fbc3836ae9	./scimma_blast/data/cutout_cdn/2010H/PanSTARRS/PanSTARRS_y.fits
7683840	96576257e1cb7a50ab31592c0eb1e6dcc7d9474f7801e44337f4be63d3005977	./scimma_blast/data/cutout_cdn/2010ag/PanSTARRS/PanSTARRS_z.fits
7683840	7d6df49340decf226114ed2293b1ea3682f32d6ff68d3048266fc3807cdc2321	./scimma_blast/data/cutout_cdn/2010ai/PanSTARRS/PanSTARRS_y.fits
7683840	2fad9fc9c7b83270c16f811d9a57b87f4c96dd2baec46697e28447760366e2bf	./scimma_blast/data/cutout_cdn/2010H/PanSTARRS/PanSTARRS_r.fits
7683840	25306baad0ba590cfe35b6ca676d70ed12d95b0d05fbce6aa6454c7b2f2d9de0	./scimma_blast/data/cutout_cdn/2010H/PanSTARRS/PanSTARRS_z.fits
7680960	7aed833b101e4d87222bf7c54cb6359bcc88bc4803e4621255c656bb65d45536	./scimma_blast/data/cutout_cdn/2010ai/PanSTARRS/PanSTARRS_i.fits
7680960	34e384256c0f1bb74aceed6c1dbb9e119f1cd64d1966c71a7934f71acc7764ef	./scimma_blast/data/cutout_cdn/2010ai/PanSTARRS/PanSTARRS_r.fits
7680960	164115d07fe4e0cd85acc9784919e5539ae53cf06ba512caf211b9f35f8b9772	./scimma_blast/data/cutout_cdn/2010ai/PanSTARRS/PanSTARRS_z.fits
7680960	0d581393c27c4efb7359f271b5d3f905dd41de7c5c1d25ee6bece016a6c90994	./scimma_blast/data/cutout_cdn/2010H/PanSTARRS/PanSTARRS_g.fits
7678080	4f99a8af187360a6169bb683f3306dcb95b4f3f00753d51572a9c7fb7f65da0f	./scimma_blast/data/cutout_cdn/2010ai/PanSTARRS/PanSTARRS_g.fits
7180203	f7df51e4c085ce4520b4aa0882c1d83406356031f07136289d321d4555726209	./MeriDK_AstroM3/dev/notebooks/042-similarity-search.ipynb
6595030	26a7ba008af8b70aeb5ae01f9f291f31c73462dc6379f5210c7d10dc7b77e9c1	./djones1040_SALTShaker/saltshaker/initfiles/salt2_ext_template_1.dat
6563885	77525a525a250c6bd7a2314daf3e1cad6c8d97827ca07835ff011e3dea8f914a	./djones1040_SALTShaker/saltshaker/initfiles/salt2_ext_template_0.dat
6456202	a1332b2fe650a8b62e6f1fa740195e058672d29f8493c57f5e17b4b231028684	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_template_1.dat
6425884	5d103c3701a0380185f4e9b99e03f432b218fb3fe500970e1d04fddd1e171a22	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_lc_relative_covariance_01.dat
6385865	a3d7ad8a751979d9049323c0904ccc8b9fe0381a32b51a4328ea65e8a7f8ebbb	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_template_0.dat
6303600	ab8ca6e0b81ded3cd6b0bf9974d5f922bb959bfc28c139bda9e9dce57c88e571	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_lc_dispersion_scaling.dat
6303600	5961d5739b7b26a0114ba785588c280b06831d4cd01972c617a60331cc865e84	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_lc_relative_variance_0.dat
6303600	051dc081e981fd7cf3234607839147da1a6d635b2a14308884d888c505b37cae	./djones1040_SALTShaker/testdata/pipeline/lcfitting/SALT3.test/salt2_lc_relative_variance_1.dat
6036480	c7f007bd396abfc90cc4d8a4101e97ba941e82a5864a2686088e05c3320e95c5	./scimma_blast/data/cutout_cdn/2010ai/SDSS/SDSS_z.fits
6036480	9abb8e22e18ec64be4e95c71f6fe6737618b347e0795b9ba6d37512eb38cee80	./scimma_blast/data/cutout_cdn/2010ai/SDSS/SDSS_u.fits
6036480	916c3536d70866441540df975ea2be6dd33baf3e0c04c71146621f44fee0b96e	./scimma_blast/data/cutout_cdn/2010ag/SDSS/SDSS_z.fits
6036480	89b20eae125d976679eda0c0e0f89aed1067eb094b6e18ba88ac80aa1694585f	./scimma_blast/data/cutout_cdn/2010ag/SDSS/SDSS_u.fits
6036480	610c291aaaa79d4cffe69b97d0169e0020434d7afb37b079aa8b1452a2a525fe	./scimma_blast/data/cutout_cdn/2010ai/SDSS/SDSS_r.fits
6036480	4ce5cfaa44028a0d0628ad1bc1eddd787da2cd2e9416843b0bd25b16708ad18a	./scimma_blast/data/cutout_cdn/2010ag/SDSS/SDSS_r.fits
6036480	3c54d67b3df36240fb8c2fc106d672f3d6d44dbd7aa6ed480a16375fec5c4b55	./scimma_blast/data/cutout_cdn/2010ag/SDSS/SDSS_i.fits
6036480	07dada23bd8463ad6bb6a8958be8c5611d7e409b993d551148fc0b809f9e8f55	./scimma_blast/data/cutout_cdn/2010ai/SDSS/SDSS_i.fits
6018503	aae8d719342342c5f8961f2f4d846d424a8f4f6795f9633b1903b13944d16c90	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/gallant-sweep-5/epoch=286-step=30135.ckpt
6018503	a7526386811d2daab87464cc829a0199c9202e9d1897bacb6cac3504d83bbcf6	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/whole-sweep-2/epoch=260-step=27405.ckpt
6018503	95558c7397bfde52068c4c5a2bf0eb811effb6446605943783db58a3ce2aab5d	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/skilled-sweep-1/last.ckpt
6018503	8ac288e004ffca0d7ef720226fc394068df2c2836e876eeebb64dd111a079f85	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/stellar-sweep-4/last.ckpt
6018503	842bacd4d12943d95b5142834739bd40e496c4a0caf4a314af060ed93fa1919b	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/whole-sweep-2/epoch=295-step=31080.ckpt
6018503	77c9220ea757d4510152384d7a0da4bb59d39e287fb428798ad2dc94e1726dc8	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/denim-sweep-3/last.ckpt
6018503	770c940677c72fdc7b0e65d0465badfe1cbbd1bfe14648ff7fc79af250b4266b	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/gallant-sweep-5/epoch=276-step=29085.ckpt
6018503	7023da2fab9a3f766ae31ffee365bf8c4344c46aa09edb0f2d88ccb845dd5ef9	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/skilled-sweep-1/epoch=296-step=31185.ckpt
6018503	6af59e8f91a157b18dea826d0896d151eb7d392ed6b722ba3e1d927f5f668d92	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/whole-sweep-2/last.ckpt
6018503	511f2a7fd957278f135310e9e7afcf3cf1ac085975516f7dd0384ae66a153b79	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/gallant-sweep-5/last.ckpt
6018503	4026732417803685eba6a760f575e66c45bca7b493d12f8b85e014aec1df9ccf	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/denim-sweep-3/epoch=293-step=30870.ckpt
6018503	3060202104ada50b5c82d07a4db2ba53063b9f10169ad9a9ca8b645d578b417f	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/denim-sweep-3/epoch=288-step=30345.ckpt
6018503	1ce0fdb75c7b68f4c21f19cd404cdaf4956af555d863918bf32ba8619af33020	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/stellar-sweep-4/epoch=256-step=26985.ckpt
6018503	16204001ee8c7f3ab2176e033196bc1020e29dee013941e0de6599676836f3e6	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/stellar-sweep-4/epoch=293-step=30870.ckpt
6018503	121ba836a3d2fe2258ab6388a1a545a194bb2b28cb98e44e2315d9afa98c7eb8	./ThomasHelfer_multimodal-supernovae/models/clip_real_lc_spectral_meta/skilled-sweep-1/epoch=260-step=27405.ckpt
6018439	63d1ed28d9d1f3ac3978a406e2fdb6e8e638c5ece5114085c2586b17a61eb71f	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/electric-sweep-1/epoch=97-step=10290.ckpt
6018439	47e3cd5dffa08d39ebeac2dfacd69c72187b5cff5aad976c4b231481b26d1c14	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/desert-sweep-5/epoch=101-step=10710.ckpt
6018439	43d3d548a2f27497b36dcc5e85becbbacdc9de9f7cbdc1990771475f9425a1ed	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/electric-sweep-1/epoch=83-step=8820.ckpt
6018439	40e133170fe1fde7d6506e37491ed79ef4cfaa0404c61fac03d22efd6ab31f0c	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/graceful-sweep-3/epoch=124-step=13125.ckpt
6018439	3a0df0ff4710a57e638820c6088369163cd52dc937e8a98432f6627ae7abef37	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/graceful-sweep-3/epoch=138-step=14595.ckpt
6018439	2a8b9b0cd819857703b0aaec1225354db752bf6967689508bccc02236e72809f	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/desert-sweep-5/epoch=144-step=15225.ckpt
6018375	fecbca17f1043795ecf04313fb85a0aaa2ed866a13a3d7abff610232841e5cc5	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/rosy-sweep-4/epoch=131-step=13860.ckpt
6018375	d4b89e9323fc0ea8793c299254968d55b5e93923870b347b9f311e61e53b5536	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/still-sweep-2/epoch=127-step=13440.ckpt
6018375	a06ea905354401a6658511af33f12a705209ab6370dc8d1f59d9a2b8affac6ed	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/still-sweep-2/epoch=92-step=9765.ckpt
6018375	738ae5893812aa35176a71b907561efed9c9160ac035540ff9b7d300357bc2ba	./ThomasHelfer_multimodal-supernovae/models/clip_pretrain_noiseless_lc_spectral_meta_flatz/rosy-sweep-4/epoch=118-step=12495.ckpt
5959522	21c34bad55666868b948425caeb0ca7d2e3539a2328b2ba9cb2484d4a20b2328	./astromer-science_multiband-astromer/data/atlas_source_ids.csv
5900187	c019605dfddd31a48bb54178aac9ae97129d1c05636585ed07a1bd2108781974	./alercebroker_lc_classifier/data_examples/100_objects_non_detections.csv
5730353	9f4b94ef2adb1cafa63cb4206a21d1cb907866dcd50dafd94692ddfd008cf099	./MeriDK_AstroM3/dev/notebooks/045-why-2-clusters.ipynb
5618191	e807cfc319cc0ea71fa0a869103c176892234f108b176c90f2343fa013f9ea15	./ThomasHelfer_multimodal-supernovae/models/clip_real/hopeful-sweep-2/epoch=317-step=33390.ckpt
5618191	691c890b5974cb0893f40725d01435a428aba432696efd1d9aca91d602e25415	./ThomasHelfer_multimodal-supernovae/models/clip_real/hopeful-sweep-2/epoch=362-step=38115.ckpt
5618127	b771a6a16230cf49fb5aa9add30d17c28af9d859664e36a5752748ec003c7832	./ThomasHelfer_multimodal-supernovae/models/clip_real/stoic-sweep-5/epoch=323-step=34020.ckpt
5618127	b59738cf037df81b83f2a3bb804adffa36c4e34c7fc5a549abca49e930c1d971	./ThomasHelfer_multimodal-supernovae/models/clip_real/gentle-sweep-4/epoch=401-step=42210.ckpt
