ZTFID,class,category,evidence,strength
ZTF18abxxngn,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19abdqfdd,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aahtkze,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aahpbal,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aajpjdi,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 245.71 < 1289.5,
ZTF18aaabltn,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF20aasiuxr,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aaqedfj,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 242.77 < 1289.5,
ZTF19acgkbla,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19abzwbxy,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aapictz,SN Ia-91T,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91T' not emittable by SNIascore,
ZTF18aapifti,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18aaqjovh,SN Ic-BL,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ic-BL' not emittable by SNIascore,
ZTF18aaqkqxi,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E5:peakt 248.74 < 1289.5,
ZTF18aarbgdn,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 245.65 < 1289.5,
ZTF18aaqqoqs,SN Ia-91T,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91T' not emittable by SNIascore,
ZTF18aaqkoyr,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18aarcypa,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 257.71 < 1289.5,
ZTF18aahjdnz,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aaqskoy,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 255.92 < 1289.5,
ZTF18aarmnnd,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted,
ZTF18aaqqhis,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 257.72 < 1289.5,
ZTF18aasdted,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 266.82 < 1289.5,
ZTF18aaumeys,SN Ia-91T,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91T' not emittable by SNIascore,
ZTF18aauizcr,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 269.68 < 1289.5,
ZTF18aaunfqq,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 269.77 < 1289.5,
ZTF18aasxvsg,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18aakvxqj,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aaqcqvr,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 257.78 < 1289.5,
ZTF18aavrzxp,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 269.76 < 1289.5,
ZTF18aavqdyq,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF19aakyofv,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aavrwhu,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 276.75 < 1289.5,
ZTF18aawjywv,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 272.89 < 1289.5,
ZTF18aaxcntm,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 278.85 < 1289.5,
ZTF18aawyjjq,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18aaxdrjn,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 279.70 < 1289.5,
ZTF18aaxnqjb,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18aaxqyki,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 284.75 < 1289.5,
ZTF18aaxcfbt,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 279.68 < 1289.5,
ZTF18aaxxyhp,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aaxiuyp,SN Ic,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ic' not emittable by SNIascore,
ZTF18aaxsioa,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 284.76 < 1289.5,
ZTF18aajupnt,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aayiahw,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 291.74 < 1289.5,
ZTF18aayjvve,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 294.77 < 1289.5,
ZTF18aayjyub,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 294.71 < 1289.5,
ZTF18aaxvpsw,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 288.73 < 1289.5,
ZTF18aaykmzg,SN Ia-91bg,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91bg' not emittable by SNIascore,
ZTF18aamzgzi,SN Ia,MEASURED,"E1 wis-tns.org/object/2018mef capture 20250709135454: report 14330 2023-01-27 12:36:34 by 'Daniel Perley (LJMU)' (sender Daniel Perley, group ZTF) = 'SN Ia'; human classifier; 1 public spectrum/spectra on or before report",STRONG
ZTF18aaylbyr,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
