c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.740591239064635,0.10627264,19.921154,0.28073055,0.25717756,225.33894,1337,E1
-0.009358176,0.15779668,0.0072218645,0.9967138,0.00062254816,0.99191433,-0.012772603,0.99459547,-21.787059546915685,0.09152717,19.921137,0.2807305,0.2571786,235.19278,1338,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.513073557295847,0.2905805,19.921122,0.28073123,0.2571784,72.74893,1355,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.842119635889382,0.122560404,19.921179,0.28072992,0.25717777,247.42863,1361,E1
-0.0093592005,0.15779783,0.0072247256,0.9967182,0.0006344095,0.99191415,-0.012781346,0.99458385,-24.621747086559687,0.03276812,19.921206,0.28073084,0.25717774,3201.0903,1373,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.382873954126687,0.1474843,19.921179,0.28072992,0.25717777,162.08842,1375,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.436428489038796,0.11520545,19.921179,0.28072992,0.25717777,427.73407,1376,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.944723548242898,0.13881743,19.921179,0.28072992,0.25717777,271.95154,1380,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.684720100022474,0.1683813,19.9212,0.28073105,0.25717875,214.03563,1387,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.841332071700144,0.29277933,19.921122,0.28073123,0.2571784,98.43074,1398,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.656803550073953,0.09848939,19.921179,0.28072992,0.25717777,208.60454,1409,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.07517665798411,0.13267441,19.921179,0.28072992,0.25717777,122.08807,1410,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-20.9385958414425,0.18246576,19.921162,0.28073084,0.2571783,107.65577,1414,E1
-0.009357719,0.15779658,0.0072272737,0.9967182,0.0006307587,0.9919124,-0.012774596,0.9945984,-21.709653003993495,0.09867604,19.921114,0.28072977,0.2571776,219.01012,1416,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.745624961206765,0.18628177,19.921179,0.28072992,0.25717777,226.38742,1418,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-22.32689113530487,0.10600975,19.921154,0.28073055,0.25717756,386.68423,1424,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-23.613090296104943,0.05269271,19.92113,0.28073007,0.25717658,1264.264,1425,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.446494172130976,0.17597076,19.921162,0.28073084,0.2571783,171.86868,1426,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-22.642211030041132,0.18991423,19.921162,0.28073084,0.2571783,516.99146,1427,E1
-0.009358381,0.15779655,0.0072262827,0.99671733,0.0006306693,0.99191463,-0.012774849,0.9945971,-22.712831931805525,0.06968725,19.921167,0.28072926,0.2571768,551.7433,1429,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.60119289333567,0.068136916,19.921179,0.28072992,0.25717777,497.82825,1432,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.325025977442117,0.23060894,19.921179,0.28072992,0.25717777,61.180428,1441,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.70519489223704,0.10308813,19.921179,0.28072992,0.25717777,218.1125,1444,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.458805503198953,0.13438946,19.921179,0.28072992,0.25717777,173.8299,1450,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-20.82722194007531,0.2792688,19.921162,0.28073084,0.2571783,97.16017,1453,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.548927726099343,0.14386764,19.921179,0.28072992,0.25717777,188.87454,1455,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-19.990652674117136,0.33880574,19.921122,0.28073123,0.2571784,44.963364,1468,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.149064133678827,0.19689766,19.921162,0.28073084,0.2571783,130.68472,1470,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.166769446680398,0.12875248,19.921179,0.28072992,0.25717777,132.8343,1477,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.08385127956614,0.15116876,19.921179,0.28072992,0.25717777,123.06742,1481,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.374882163355203,0.15600887,19.921179,0.28072992,0.25717777,160.8996,1483,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-20.538180420910273,0.322771,19.921162,0.28073084,0.2571783,74.4511,1490,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.607332648584695,0.15522757,19.921179,0.28072992,0.25717777,79.34787,1499,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.984367560475768,0.11655735,19.921154,0.28073055,0.25717756,282.0636,1500,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-19.719664209761667,0.37329108,19.921122,0.28073123,0.2571784,35.03187,1504,E1
